,method,step,rmse
362,unified_quantile,63,0.17525367047169646
363,unified_quantile,64,0.23302653543585622
364,unified_quantile,65,0.12334182612243004
365,unified_quantile,66,0.2549553336853674
366,unified_quantile,67,0.15536349324163903
367,unified_quantile,68,0.1755283334151793
368,unified_quantile,69,0.23439971467171583
369,unified_quantile,70,0.23123177025085803
370,unified_quantile,71,0.13983646228105126
371,unified_quantile,72,0.3084137782643159
372,unified_quantile,73,0.1572952044684753
373,unified_quantile,74,0.19708974301078364
374,unified_quantile,75,0.1711475881902187
375,unified_quantile,76,0.20708868021233187
376,unified_quantile,77,0.2506922818772627
377,unified_quantile,78,0.24607000151608524
378,unified_quantile,79,0.22392286003862902
379,unified_quantile,80,0.16405684835991444
380,unified_quantile,81,0.2927385950195648
381,unified_quantile,82,0.25784379718737366
382,unified_quantile,83,0.22818605529380773
383,unified_quantile,84,0.2774167459868747
384,unified_quantile,85,0.21967744774789033
385,unified_quantile,86,0.15392684497496104
386,unified_quantile,87,0.2560586005618814
387,unified_quantile,88,0.3179799221133985
388,unified_quantile,89,0.2696185454254071
389,unified_quantile,90,0.2208075732214505
390,unified_quantile,91,0.2649292357172301
391,unified_quantile,92,0.18411347180582388
392,unified_quantile,93,0.16500428894745073
393,unified_quantile,94,0.33212097092181936
394,unified_quantile,95,0.21705971468567778
395,unified_quantile,96,0.20967247359080768
396,unified_quantile,97,0.3294889180246281
397,unified_quantile,98,0.2747969275701688
398,unified_quantile,99,0.2210326247799926
399,unified_quantile,100,0.17403270024696277
400,unified_healing,1,0.05929785039524497
401,unified_healing,2,0.058706441361752675
402,unified_healing,3,0.07120149333909863
403,unified_healing,4,0.07823463290112649
404,unified_healing,5,0.07847729281175356
405,unified_healing,6,0.08122971037274766
406,unified_healing,7,0.09472300179957166
407,unified_healing,8,0.09577991822073623
408,unified_healing,9,0.10202172002432709
409,unified_healing,10,0.10757724177694541
410,unified_healing,11,0.11241696054440753
411,unified_healing,12,0.11972134192485519
412,unified_healing,13,0.12783695795866032
413,unified_healing,14,0.13505527712556364
414,unified_healing,15,0.14092350855333413
415,unified_healing,16,0.15170242028080747
416,unified_healing,17,0.15846223682809663
417,unified_healing,18,0.1566156142711813
418,unified_healing,19,0.15318255629818325
419,unified_healing,20,0.1653480117558932
420,unified_healing,21,0.1843145370954667
421,unified_healing,22,0.206085482036772
422,unified_healing,23,0.2154658551122128
423,unified_healing,24,0.22158887332699054
424,unified_healing,25,0.21453990009807788
425,unified_healing,26,0.20175179895751966
426,unified_healing,27,0.20008803692330554
427,unified_healing,28,0.20867409714656807
428,unified_healing,29,0.22568881126180032
429,unified_healing,30,0.22727816364577808
430,unified_healing,31,0.2316426010661699
431,unified_healing,32,0.23803469796563556
432,unified_healing,33,0.23952368594797968
433,unified_healing,34,0.23795141051830906
434,unified_healing,35,0.2397608269255693
435,unified_healing,36,0.236246167363025
436,unified_healing,37,0.23934291154181306
437,unified_healing,38,0.23784156588749264
438,unified_healing,39,0.22857671840840435
439,unified_healing,40,0.23106366794694347
440,unified_healing,41,0.2253839371908016
441,unified_healing,42,0.23125049392429028
442,unified_healing,43,0.23323924901508547
443,unified_healing,44,0.2278918446034694
444,unified_healing,45,0.23229777787974007
445,unified_healing,46,0.2321343785067854
446,unified_healing,47,0.23381821921373525
447,unified_healing,48,0.23979203003938052
448,unified_healing,49,0.23599593178704603
449,unified_healing,50,0.2261729517608013
450,unified_healing,51,0.23166301730992936
451,unified_healing,52,0.23890673320736136
452,unified_healing,53,0.24713284307376995
453,unified_healing,54,0.24809492259121946
454,unified_healing,55,0.2378583455786317
455,unified_healing,56,0.23568673929690254
456,unified_healing,57,0.24604732201251134
457,unified_healing,58,0.24305114937188604
458,unified_healing,59,0.251784297116572
459,unified_healing,60,0.248609856340144
460,unified_healing,61,0.24477043192342451
461,unified_healing,62,0.2419787852308529
462,unified_healing,63,0.2463301156087516
463,unified_healing,64,0.24684084416042093
464,unified_healing,65,0.24338605749143385
465,unified_healing,66,0.24117122634576868
466,unified_healing,67,0.2413657900041929
467,unified_healing,68,0.23452332423498154
468,unified_healing,69,0.24329885746210628
469,unified_healing,70,0.2432197265073457
470,unified_healing,71,0.24611559047712422
471,unified_healing,72,0.24543414883682968
472,unified_healing,73,0.244879451168248
473,unified_healing,74,0.24298428457587568
474,unified_healing,75,0.24959941014695952
475,unified_healing,76,0.24944702957309298
476,unified_healing,77,0.23373337448892778
477,unified_healing,78,0.23784730974184887
478,unified_healing,79,0.24375517617296863
479,unified_healing,80,0.2505898124812916
480,unified_healing,81,0.2509317190127299
481,unified_healing,82,0.23705910688447673
482,unified_healing,83,0.23717508241573562
483,unified_healing,84,0.23902015509950245
484,unified_healing,85,0.23077593111561087
485,unified_healing,86,0.23380407226148356
486,unified_healing,87,0.24612790417916436
487,unified_healing,88,0.2555886663308566
488,unified_healing,89,0.2588566194216496
489,unified_healing,90,0.2594082111420116
490,unified_healing,91,0.246995408465454
491,unified_healing,92,0.24531393008220248
492,unified_healing,93,0.2449400740598421
493,unified_healing,94,0.24584980358588523
494,unified_healing,95,0.23768554883333137
495,unified_healing,96,0.2573332440298888
496,unified_healing,97,0.2524559025864058
497,unified_healing,98,0.2398748584406708
498,unified_healing,99,0.23708564238123558
499,unified_healing,100,0.2496097670853925
500,unified_template_healing,1,0.05929785039524497
501,unified_template_healing,2,0.058706441361752675
502,unified_template_healing,3,0.07120149333909863
503,unified_template_healing,4,0.07823463290112649
504,unified_template_healing,5,0.07871856645558724
505,unified_template_healing,6,0.08162728266598547
506,unified_template_healing,7,0.09493735192093648
507,unified_template_healing,8,0.09445931572198675
508,unified_template_healing,9,0.09988626652197345
509,unified_template_healing,10,0.10810524896539905
510,unified_template_healing,11,0.11501642144665877
511,unified_template_healing,12,0.1183207985892056
512,unified_template_healing,13,0.12664947029762116
513,unified_template_healing,14,0.13213651795767742
514,unified_template_healing,15,0.1428614566929544
515,unified_template_healing,16,0.1507513034796052
516,unified_template_healing,17,0.1525006164366628
517,unified_template_healing,18,0.15584542109430405
518,unified_template_healing,19,0.15107420382320452
519,unified_template_healing,20,0.15829280226923323
520,unified_template_healing,21,0.17412917155321447
521,unified_template_healing,22,0.1876215663370926
522,unified_template_healing,23,0.1990063335812615
523,unified_template_healing,24,0.20770127537600366
524,unified_template_healing,25,0.207264208706738
525,unified_template_healing,26,0.18734611144951055
526,unified_template_healing,27,0.18755893366649978
527,unified_template_healing,28,0.2002781126372259
528,unified_template_healing,29,0.21382739149382335
529,unified_template_healing,30,0.20453711666046775
530,unified_template_healing,31,0.2071289380447864
531,unified_template_healing,32,0.20970887257790138
532,unified_template_healing,33,0.21474719265331488
533,unified_template_healing,34,0.21065942502110477
534,unified_template_healing,35,0.2185442847642969
535,unified_template_healing,36,0.2177704953975195
536,unified_template_healing,37,0.21686457991595323
537,unified_template_healing,38,0.21056480936484664
538,unified_template_healing,39,0.21146329594945157
539,unified_template_healing,40,0.2135968917221581
540,unified_template_healing,41,0.20634060243864993
541,unified_template_healing,42,0.21699323238968454
542,unified_template_healing,43,0.21640156602000118
543,unified_template_healing,44,0.21479374005734275
544,unified_template_healing,45,0.21259845707969394
545,unified_template_healing,46,0.2145227396764263
546,unified_template_healing,47,0.2072041155093608
547,unified_template_healing,48,0.21787785276646193
548,unified_template_healing,49,0.2200484536312011
549,unified_template_healing,50,0.2085271396745491
550,unified_template_healing,51,0.22473398182117857
551,unified_template_healing,52,0.23119620560963444
552,unified_template_healing,53,0.2232809923997053
553,unified_template_healing,54,0.21448807808669404
554,unified_template_healing,55,0.22504691666199045
555,unified_template_healing,56,0.22640691783798947
556,unified_template_healing,57,0.23265725288837186
557,unified_template_healing,58,0.2325026428427741
558,unified_template_healing,59,0.22785345355790404
559,unified_template_healing,60,0.2369770335727669
560,unified_template_healing,61,0.22568261181424148
561,unified_template_healing,62,0.22843565612331945
562,unified_template_healing,63,0.23876003075462257
563,unified_template_healing,64,0.2504564130143255
564,unified_template_healing,65,0.2451353298367036
565,unified_template_healing,66,0.24336778980854876
566,unified_template_healing,67,0.24381693128673426
567,unified_template_healing,68,0.23893840644423772
568,unified_template_healing,69,0.24610895316097922
569,unified_template_healing,70,0.238080438992211
570,unified_template_healing,71,0.23900456777246806
571,unified_template_healing,72,0.240717481974715
572,unified_template_healing,73,0.22537688766191386
573,unified_template_healing,74,0.23092187813982687
574,unified_template_healing,75,0.22957819532297416
575,unified_template_healing,76,0.22966947673444146
576,unified_template_healing,77,0.23103330000149233
577,unified_template_healing,78,0.2374544158699463
578,unified_template_healing,79,0.23194945205567155
579,unified_template_healing,80,0.25420047969087545
580,unified_template_healing,81,0.24763981397143012
581,unified_template_healing,82,0.24516855536032287
582,unified_template_healing,83,0.23438024402158192
583,unified_template_healing,84,0.23937951949190447
584,unified_template_healing,85,0.23378510875485856
585,unified_template_healing,86,0.2265889454108578
586,unified_template_healing,87,0.24991499395587013
587,unified_template_healing,88,0.26221786015353094
588,unified_template_healing,89,0.2593230334383997
589,unified_template_healing,90,0.25220311772571175
590,unified_template_healing,91,0.2567823024627985
591,unified_template_healing,92,0.2535347935289201
592,unified_template_healing,93,0.2636560006102212
593,unified_template_healing,94,0.26436731534514235
594,unified_template_healing,95,0.25142171888247034
595,unified_template_healing,96,0.26127130148187516
596,unified_template_healing,97,0.26401002381948424
597,unified_template_healing,98,0.2428292919623837
598,unified_template_healing,99,0.24353804856873246
599,unified_template_healing,100,0.2639672823547394
